Neighbourhood,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,  Without after-tax income,  With after-tax income,  Percentage with after-tax income,"    Under $10,000 (including loss)","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over",Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,  Without employment income,  With employment income,  Percentage with employment income,"    Under $5,000 (including loss)","    $5,000 to $9,999","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over","      $80,000 to $89,999","      $90,000 to $99,999","      $100,000 and over","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","In low income based on the Low-income measure, after tax (LIM-AT)",0 to 17 years,0 to 5 years,  18 to 64 years,  65 years and over,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",  0 to 17 years (%),    0 to 5 years (%),  18 to 64 years (%),  65 years and over (%),  Not in the labour force,  In the labour force,    Employed,    Unemployed,Participation rate,Employment rate,Unemployment rate,  Did not work,  Worked,"    Worked full year, full time",    Worked part year and/or part time,Total labour force aged 15 years and over by class of worker - 25% sample data,  Class of worker - not applicable,  All classes of workers,    Employee,    Self-employed
Don Valley Village,"22,760","1,235","21,520",95,"4,965","4,310",3215,"2,550","2,030","1,380","1,035",730,"1,325","22,765",8020,14745,65,"2,295","1,435",2250,"1,765","1,535","1,305",950,735,610,1860,480,450,940,23.5,"6,300","1,490",510,"4,145",665,19.7,25,23.1,20.9,9.5,8885,13880,"12,540","1,330",61,55,10,8920,13840,"6,505","7,335","13,870",575,"13,305","11,555","1,745"
Dorset Park,"20,130","1,170","18,960",94,"3,725","4,300",3510,"2,860","1,945","1,085",670,395,460,20130,6785,13335,66,"1,645","1,225",2180,"1,870","1,770","1,535",995,685,470,950,320,255,370,22.3,"5,440","1,615",555,"3,230",595,17,23,25.2,16.1,11.9,7415,12735,"11,495","1,230",63,57,10,7550,12575,"5,805","6,775","12,720",520,"12,210","11,190","1,015"
Dovercourt-Wallace Emerson-Junction,"31,825","1,060","30,765",97,"4,860","6,695",5355,"3,895","3,055","2,285","1,605","1,190","1,840","31,825",8515,23315,73,"2,295","1,900",3685,"2,920","2,570","2,210","1,810","1,440","1,200","3,270",885,760,1605,17.1,"6,205","1,000",340,"4,375",830,17,15,12.8,18.2,12.7,9420,22330,"20,710","1,610",70,65,7,9145,22600,"11,325","11,280","22,320",475,"21,845","19,065","2,785"
Downsview-Roding-CFB,"29,215","1,495","27,725",95,"4,595","6,060",5680,"4,245","2,955","1,735","1,060",610,770,29215,9835,19375,66,"2,260","1,735",3075,"2,775","2,590","2,180","1,535","1,005",750,"1,510",495,415,605,19.4,"6,760","1,945",685,"4,075",725,15.9,21,21.3,16,8.8,11210,18045,"16,630","1,420",62,57,8,10945,18320,"8,650","9,680","18,040",485,"17,565","16,100","1,455"
Dufferin Grove,"10,430",300,"10,120",97,1540,"2,105",1700,"1,425","1,030",780,580,315,650,10430,2570,7860,75,755,670,1235,980,910,740,610,495,440,1025,275,205,545,18,2105,300,100,"1,505",290,18.1,16,13.9,19.6,12.3,2870,7555,"6,995",565,72,67,7.5,2790,7630,"3,900","3,735","7,555",120,"7,440","6,380","1,060"
East End-Danforth,"17,295",760,"16,535",96,2695,"2,980",2135,"1,675","1,510","1,295","1,035",980,"2,205","17,295",4725,12575,73,"1,470",950,1500,"1,160",985,975,865,805,650,3230,625,655,1945,18.8,"3,955",790,245,"2,560",600,16.6,15,12.2,16.7,19.9,5170,12120,"11,125",990,70,64,8.2,5060,12235,"6,235","5,995","12,120",380,"11,745","10,045","1,695"
Edenbridge-Humber Valley,"13,070",500,"12,565",96,1815,"1,800",1710,"1,490","1,315",985,665,585,2215,"13,080",3855,9225,71,"1,170",710,1150,880,815,805,635,490,340,2200,305,310,1585,10.5,1600,330,110,"1,005",255,8.2,9.4,13.1,8.8,5.6,4650,8420,"7,915",510,64,61,6.1,4245,8825,"4,490","4,335","8,425",145,"8,285","6,785","1,500"
Eglinton East,"18,075","1,120","16,950",94,"3,350","3,990",3300,"2,565","1,710",940,505,260,330,18070,6510,11560,64,"1,675","1,135",1880,"1,730","1,575","1,240",835,545,320,635,225,165,245,26,"5,775","1,965",675,"3,330",480,20.4,30,34.9,19.4,10.3,7385,10690,"9,540","1,155",59,53,11,7570,10505,"4,685","5,830","10,695",570,"10,115","9,430",690
Elms-Old Rexdale,"7,640",475,"7,165",94,1475,"1,555",1330,"1,030",730,445,270,160,185,7640,2710,4935,65,730,545,750,625,600,520,365,255,175,370,125,100,140,23.2,2195,800,250,"1,215",180,17.9,27.1,27.7,16.4,9,3005,4635,"4,175",465,61,55,10,3080,4565,"2,145","2,420","4,640",205,"4,435","4,095",340
Englemount-Lawrence,"17,090","1,010","16,080",94,"2,740","3,280",2910,"2,045","1,545",935,675,465,1495,"17,085",5600,11475,67,"1,625","1,030",1755,"1,660","1,280",980,700,520,380,1545,275,245,1020,21.3,"4,665","1,395",435,"2,445",830,17.8,18,17.2,17.3,19,6330,10760,"9,805",955,63,57,8.9,6215,10865,"4,680","6,180","10,760",365,"10,390","8,875","1,515"
