Neighbourhood,Without after-tax income,With after-tax income,"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 69,999","70,000 to 79,999","80,000 and over","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",0 to 17 years,18 to 64 years,65 years and over,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",Not in the labour force,In the labour force,Participation rate,Employment rate,Unemployment rate,Class of worker - not applicable,Employee,Self-employed
Weston-Pelham Park,0.0483,0.9517,0.1890,0.2358,0.1806,0.1254,0.0936,0.0686,0.0491,0.0268,0.0312,20.4000,0.2286,0.6505,0.1209,18.5000,0.3668,0.6332,63.0000,58.0000,8.5000,0.0293,0.8685,0.1022
Wexford-Maryvale,0.0525,0.9475,0.1814,0.2120,0.1855,0.1354,0.1078,0.0716,0.0451,0.0272,0.0340,19.2000,0.2763,0.6121,0.1116,15.4000,0.3855,0.6145,62.0000,56.0000,9.0000,0.0303,0.8727,0.0969
Willowdale East,0.0635,0.9365,0.2694,0.1647,0.1079,0.0925,0.0864,0.0722,0.0578,0.0460,0.1032,30.3000,0.1696,0.7407,0.0897,26.7000,0.3895,0.6105,61.0000,56.0000,9.0000,0.0399,0.8065,0.1535
Willowdale West,0.0445,0.9555,0.2424,0.1839,0.1163,0.0974,0.0813,0.0662,0.0578,0.0459,0.1089,27.1000,0.1068,0.6762,0.2170,23.6000,0.4206,0.5794,58.0000,52.0000,9.8000,0.0418,0.8107,0.1475
Willowridge-Martingrove-Richview,0.0454,0.9546,0.1532,0.1802,0.1656,0.1326,0.1121,0.0808,0.0535,0.0439,0.0780,15.0000,0.3108,0.5225,0.1667,11.2000,0.4151,0.5849,59.0000,54.0000,8.5000,0.0295,0.8619,0.1086
Woburn,0.0632,0.9368,0.2204,0.2373,0.1783,0.1292,0.0937,0.0582,0.0356,0.0204,0.0268,27.2000,0.2958,0.5882,0.1160,22.0000,0.4197,0.5803,58.0000,52.0000,11.0000,0.0473,0.8705,0.0822
Woodbine Corridor,0.0337,0.9663,0.1354,0.1759,0.1277,0.0995,0.0954,0.0826,0.0718,0.0651,0.1467,15.8000,0.1913,0.6505,0.1582,13.9000,0.2806,0.7194,72.0000,66.0000,7.7000,0.0261,0.8398,0.1341
Woodbine-Lumsden,0.0329,0.9671,0.1368,0.1855,0.1406,0.1128,0.1051,0.0927,0.0734,0.0587,0.0943,15.2000,0.1737,0.6229,0.2034,13.5000,0.2987,0.7013,70.0000,66.0000,6.6000,0.0181,0.8806,0.1013
Wychwood,0.0300,0.9700,0.1517,0.1972,0.1590,0.1095,0.0945,0.0754,0.0527,0.0404,0.1195,16.7000,0.1295,0.6386,0.2318,15.6000,0.3083,0.6917,69.0000,66.0000,5.2000,0.0159,0.8239,0.1602
Yonge-Eglinton,0.0410,0.9590,0.1381,0.1183,0.1105,0.1089,0.1027,0.0834,0.0677,0.0521,0.2183,12.0000,0.1404,0.7509,0.1088,11.1000,0.2680,0.7320,73.0000,68.0000,6.9000,0.0191,0.8237,0.1572
Yonge-St.Clair,0.0237,0.9763,0.1168,0.1086,0.1031,0.1072,0.1044,0.0907,0.0678,0.0559,0.2455,12.9000,0.1038,0.7799,0.1164,12.1000,0.3057,0.6943,69.0000,65.0000,5.9000,0.0149,0.8103,0.1748
York University Heights,0.0533,0.9467,0.2307,0.2247,0.1811,0.1386,0.0995,0.0555,0.0326,0.0169,0.0204,24.4000,0.2418,0.6749,0.0833,22.5000,0.3701,0.6299,63.0000,56.0000,11.0000,0.0462,0.8809,0.0728
Yorkdale-Glen Park,0.0497,0.9503,0.1635,0.1970,0.1888,0.1491,0.1068,0.0658,0.0410,0.0340,0.0541,16.8000,0.2770,0.5729,0.1501,13.9000,0.3998,0.6002,60.0000,55.0000,8.0000,0.0283,0.8728,0.0988
